factor_1	factor_2	factor_3	factor_4	factor_5	factor_6	factor_7	factor_8	factor_9	factor_10	factor_11	factor_12	factor_13	factor_14	factor_15	factor_16	factor_17	factor_18	factor_19	factor_20	factor_21	factor_22	factor_23	factor_24	factor_25	factor_26	factor_27	factor_28	factor_29	factor_30	factor_31	factor_32	factor_33	factor_34	factor_35
-1096.932126	-6.70	-3.60	5.61	-7.10	4.94	-0.18	1.10	9.41	-1.17	6.71	-11.19	-0.27	7.67	7.16	-9.97	-2.01	8.11	2.76	0.25	6.85	-4.021659007	-5.729186906	-0.99351447	-1.297646306	-4.16797923	-0.742998203	-4.183787105	8.530632832	1.959751857	1.364960578	3.549273022	-8.230575324	-4.740620823	6.245945246
-1101.126424	-12.70962892	0.616126784	3.575225471	-4.420096163	3.54927763	-1.108333948	11.89592531	9.181038134	-6.994546736	-9.859826776	9.477919463	-7.891968295	8.362608309	-0.66701391	0.083704334	-3.543512522	1.783685068	-2.879728839	-2.360776053	8.993475764	-1.665480583	5.354904809	2.487616228	0.451533068	-10.30222464	1.270688812	-3.916881776	2.647684133	-5.484367259	-4.256705456	-6.19985856	5.05206219	3.306895674	-4.812873861
-1097.064093	-9.891726316	19.79291174	-3.607057773	-24.25456052	-2.170158449	-17.53247873	3.332439122	14.38279097	-7.171424569	3.443118648	-0.65062753	8.577528716	-0.775889328	-6.020016884	-5.955300211	-0.381309404	-12.42661404	-6.715309067	-0.554609118	-5.185189952	-2.351640451	-1.228968903	-4.67143712	3.221147062	2.720219903	0.601584933	2.977955907	-1.017136356	-2.089320378	-1.492450547	0.279561853	-1.29310607	-1.435472247	-0.761579105
-1098.546021	-22.38651658	-9.902112433	10.32895843	2.46225212	-9.531539679	2.224835543	-11.4641277	0.161252846	5.688734877	7.887419436	1.772574013	-6.93175211	-0.23828574	6.972041127	-0.477779055	-1.187467581	-5.885547134	-1.797392289	4.892001183	-2.998086849	1.375688562	-0.55787106	-9.696291292	3.474211088	2.522301047	3.261975162	-3.614158896	6.883929612	0.893690775	-0.119155514	-4.752249428	9.952801401	5.0286136	6.480224805
-1096.103437	-4.889037196	-35.38189309	12.71805025	-5.715419499	-2.873851668	8.073998473	-15.86856125	12.18834576	-1.66829527	-5.318612132	-3.868059885	2.400133947	0.793035412	-1.554709876	6.521181531	-9.269593643	-5.171953689	-5.778860172	0.114864545	-2.93590892	0.924541103	-2.843692289	7.648447508	-0.518443025	1.083664341	-2.999148407	-6.348214333	-6.024327344	-0.132187172	1.940606362	1.975162415	-2.856529209	-0.443915799	-2.71808494
-1097.801106	10.08974168	-21.11972696	8.852454904	1.776061401	-0.82581335	-12.48711951	-2.12084781	-2.148115806	-8.159044623	1.38817325	7.440945001	7.134764084	-9.540535826	-3.718174942	6.114201628	-0.273885009	3.284684789	12.46559636	-6.201220346	-4.729318357	-9.06146358	5.974193294	-4.358090371	-1.258796623	-0.024799508	-0.97353603	-2.835469029	7.11738325	-3.45836251	3.259998862	-1.996170498	-1.221296694	-2.55814995	-0.715719587
-1098.849023	-0.865103613	29.44558545	17.41062453	-9.656663722	-12.59943755	-6.024613292	-5.415666473	-7.625301503	15.79102326	-10.0977779	-2.931044158	13.53712231	3.151395733	7.116012158	8.590167563	-2.486901647	5.207008842	0.194644148	-0.065989416	4.360418648	-0.912034431	2.309634197	-1.985223745	3.17711326	-1.560349453	0.037870946	-4.007152212	-2.944865078	0.952262584	1.254668555	-1.464060574	-0.906180092	-0.581876608	-0.855157205
-1099.029639	18.18830228	-3.941716519	13.25428838	9.594140545	7.949757087	-8.634032314	-2.983502427	-4.163123564	-0.78173292	7.408320178	3.234810851	0.702926906	4.994507848	1.777792492	-0.272237678	0.397159675	-5.559452057	-0.265903252	-4.535918081	1.0674089	5.661556906	-2.882096781	2.305693138	-0.775825023	-9.045522033	9.156512485	5.215081629	-8.486849684	-2.678207933	6.536400914	-5.464786529	0.577718425	-5.782034711	6.646864178
-1098.488191	-8.894184956	-2.879749635	9.362429609	-12.57228812	6.755896811	10.10501514	7.442969179	1.006621318	-7.779596937	-3.486331721	-0.989965212	9.475437742	-5.542087788	2.519640748	-7.362599505	0.043757845	11.86152801	2.583455881	6.390599445	-8.382787562	1.881271206	4.168272107	8.644818289	6.418566353	1.458269717	3.484686748	5.084190136	-2.30317651	0.98432602	1.109011218	-1.039740713	6.043750307	2.37118067	4.67280388
-1098.498682	12.24028401	10.17072462	4.963262306	2.703957837	-2.408212065	6.854556918	14.71955477	5.942395958	-2.967915671	-3.576603414	-7.218190319	-0.525069771	6.483513813	-4.80974777	10.20918862	-5.154361267	-0.246886056	2.699576859	1.229909695	-7.167973929	4.405987711	-1.025150094	-2.933445279	-12.75483135	3.915683517	-2.480951796	3.015553956	2.116344935	2.471926227	-2.768078432	-7.854091996	-2.5836317	2.583998967	6.094062993
-1097.911157	-15.04413521	-3.452018536	12.69596801	-19.74717905	-12.48123406	10.43517498	2.129988323	-7.40694005	-2.744534111	9.65621726	3.451014581	-10.45000689	-6.049566147	4.358449568	2.778546189	7.991792609	4.002623756	-4.938596717	-0.518584439	-2.283828046	-6.008724189	0.841331292	-3.644993931	-5.210022811	-5.294049041	-1.622494012	6.006019194	-6.647624198	1.6245172	-1.680706678	-0.920916284	-6.189902237	-0.457182269	-3.624475834
-1098.839079	-19.36771915	-2.857592839	3.133592328	-3.846224849	9.496887478	-11.76589192	-4.24790923	-6.484381384	-0.626354585	-17.56914788	4.89389356	-7.762886646	-5.195683932	11.28215126	-4.589600034	-0.281282082	-5.071079883	5.727837394	-1.943987121	4.501197657	0.626641446	-4.760041971	2.799427713	-5.47138517	9.222961089	-1.705517731	6.226838254	-1.098163685	-1.587778991	-1.304182264	0.217944762	-2.971413988	1.670406719	2.524124034
-1099.955733	-4.205448035	0.768901619	13.88429792	19.76953033	3.422624938	6.724355489	2.878131857	3.543233528	0.096093459	-9.37784669	7.077699979	1.518419119	-4.934807583	-7.230588061	3.483944676	7.49282917	-3.798760763	-9.878351175	3.247683086	4.641174488	-1.26109387	7.010289827	-2.359122922	3.621489443	-0.475336977	-1.667487194	2.351726805	3.03773744	3.367884441	-2.587214744	7.064294692	-3.773983724	-5.091719528	8.671788013
-1097.044387	29.60431511	0.565862685	7.480136966	-2.66065517	-0.756651177	-6.537078172	4.014934206	1.704875669	-2.755295637	5.294609753	9.207146201	-1.345152555	2.713627212	-1.134015547	9.065323966	7.566847546	3.359538811	0.220095638	7.352828857	3.419755949	-4.299996269	-16.00926789	5.612952558	4.557278163	4.683632372	-0.351784171	-1.360472964	0.99235703	0.912755484	-5.178088897	1.602868327	3.614048607	1.392356973	-0.631172057
-1099.369498	11.94533495	-2.329300681	8.426141981	20.93835262	-2.025067951	-4.064528132	-3.591071259	3.707940618	1.28441121	-1.681979688	-1.262881038	1.656567716	2.974405183	1.637549283	-7.22134488	3.569054182	-0.654395667	-2.65584041	2.205201535	-2.967392121	-0.934511097	1.627248836	1.347969452	3.13000885	1.152150596	6.607658139	4.155849479	4.459839545	7.526421644	2.149061942	-5.457740788	-8.96304852	8.943428107	-10.02914476
-1098.941893	5.303682371	8.869086916	11.64367439	4.981465246	1.023694804	9.466514402	-9.256522664	6.142670075	2.557536889	0.749505786	3.485762588	3.246266529	11.16737665	-3.51007426	-7.766079544	4.259261856	2.101092957	0.842392848	-8.381893189	0.911350237	-5.067207656	0.338798414	-1.586288289	-8.606221009	4.809821494	-4.815624714	5.122605109	-0.926381692	1.588023217	4.853361244	5.251635715	10.78870785	-1.222658043	-4.308082885
-1098.118774	13.38460874	0.289686827	12.41976413	-2.688611557	-0.95548042	-10.90464797	7.100221951	-3.089541492	-1.44983111	3.649450181	5.024174968	-2.029883614	-8.73437782	-1.871554222	-8.064955878	-3.256174832	1.91124889	0.567755892	-0.647753398	0.620978659	13.45191009	1.934055782	-2.236462496	-6.07371313	-1.449957377	-1.217360657	-9.899340429	-2.853085177	9.505272783	-3.302866169	6.217386288	2.188941475	0.948787631	-2.583130502
-1098.932049	-3.243485816	10.79121948	11.47487667	10.96879337	10.61779684	3.176124989	7.481459789	-8.248539157	-4.327986434	5.729524502	-8.251337102	-3.053963285	1.885200964	2.754150069	0.189620727	0.625632788	-1.676367485	-2.730421986	6.536892369	-1.464407088	-2.860928373	4.787191987	-0.285457351	-3.288379566	9.311863638	7.280896784	-8.433845272	-2.524848289	-11.63899868	0.206708951	3.682407907	-0.924605698	-2.749182455	-4.877970255
